timestamp,open,high,low,close
2024-10-07,1.09682,1.0987,1.0954,1.09733
2024-10-08,1.09735,1.09971,1.09606,1.09778
2024-10-09,1.09785,1.0981,1.09359,1.09403
2024-10-10,1.09405,1.09548,1.08998,1.09349
2024-10-11,1.0935,1.09537,1.09257,1.09353
2024-10-14,1.09312,1.09366,1.0888,1.09059
2024-10-15,1.09077,1.09167,1.08816,1.08919
2024-10-16,1.08918,1.09014,1.0853,1.08628
2024-10-17,1.08627,1.08737,1.08106,1.08318
2024-10-18,1.08316,1.08694,1.0825,1.0865
2024-10-21,1.0866,1.0872,1.08108,1.08147
2024-10-22,1.08149,1.08381,1.07922,1.07982
2024-10-23,1.0798,1.08067,1.07609,1.0783
2024-10-24,1.07824,1.083,1.07702,1.08278
2024-10-25,1.0828,1.08393,1.07927,1.0793
2024-10-28,1.07935,1.08276,1.07817,1.08134
2024-10-29,1.08134,1.08263,1.07687,1.0814
2024-10-30,1.08147,1.08713,1.08076,1.08569
2024-10-31,1.08571,1.08881,1.08438,1.0882
2024-11-01,1.08821,1.09057,1.08315,1.0834
2024-11-04,1.0879,1.09147,1.08695,1.08767
2024-11-05,1.08757,1.09365,1.08721,1.09288
2024-11-06,1.09265,1.09369,1.06822,1.07269
2024-11-07,1.07262,1.08247,1.07125,1.08038
2024-11-08,1.08021,1.0805,1.06865,1.07182
2024-11-11,1.0707,1.0728,1.06283,1.06533
2024-11-12,1.06534,1.06631,1.05946,1.06216
2024-11-13,1.06202,1.0654,1.05555,1.05622
2024-11-14,1.05627,1.05825,1.04958,1.0529
2024-11-15,1.0529,1.0593,1.05159,1.05394
2024-11-18,1.05294,1.06072,1.0528,1.05979
2024-11-19,1.05979,1.0601,1.05229,1.05937
2024-11-20,1.05931,1.061,1.05065,1.05432
2024-11-21,1.05427,1.0555,1.04618,1.04738
2024-11-22,1.04734,1.04981,1.03325,1.04193
2024-11-25,1.04829,1.05303,1.04486,1.04942
2024-11-26,1.04929,1.05448,1.04246,1.04879
2024-11-27,1.04868,1.05878,1.0474,1.0566
2024-11-28,1.05652,1.057,1.05271,1.05489
2024-11-29,1.05511,1.05971,1.05411,1.05748
2024-12-02,1.05695,1.05742,1.04603,1.04966
2024-12-03,1.0497,1.05351,1.04806,1.05073
2024-12-04,1.05065,1.05441,1.04718,1.05114
2024-12-05,1.05071,1.05896,1.05054,1.0584
2024-12-06,1.05839,1.06298,1.05419,1.05673
2024-12-09,1.05574,1.05945,1.05317,1.05531
2024-12-10,1.05519,1.05681,1.0498,1.05268
2024-12-11,1.05259,1.05394,1.04797,1.04933
2024-12-12,1.04935,1.05309,1.04634,1.0469
2024-12-13,1.04655,1.05242,1.04527,1.05017
2024-12-16,1.04865,1.05248,1.04742,1.05121
2024-12-17,1.05099,1.05341,1.04788,1.04903
2024-12-18,1.04904,1.05127,1.03436,1.03507
2024-12-19,1.03513,1.04224,1.03457,1.03605
2024-12-20,1.03616,1.04475,1.03426,1.04244
2024-12-23,1.04304,1.04452,1.03838,1.04048
2024-12-24,1.04043,1.04099,1.03832,1.0401
2024-12-25,1.0395,1.0412,1.0395,1.0401
2024-12-26,1.0403,1.04301,1.03901,1.0422
2024-12-27,1.04184,1.04441,1.04047,1.04239
2024-12-30,1.04275,1.04584,1.03714,1.04068
2024-12-31,1.04054,1.04244,1.03438,1.03522
2025-01-01,1.0358,1.0359,1.0352,1.0352
2025-01-02,1.03544,1.03756,1.02238,1.02619
2025-01-03,1.0264,1.031,1.02524,1.03066
2025-01-06,1.0302,1.04368,1.0294,1.03898
2025-01-07,1.03884,1.04344,1.0339,1.03394
2025-01-08,1.03398,1.03575,1.02728,1.03178
2025-01-09,1.03177,1.03215,1.02834,1.0299
2025-01-10,1.0299,1.03118,1.02124,1.0244
2025-01-13,1.02402,1.025,1.01772,1.02441
2025-01-14,1.02407,1.03086,1.02382,1.03076
2025-01-15,1.03074,1.03544,1.02588,1.02861
2025-01-16,1.0288,1.03151,1.02604,1.0299
2025-01-17,1.02965,1.03306,1.0265,1.0271
2025-01-20,1.02831,1.04342,1.02659,1.04155
2025-01-21,1.04156,1.04353,1.03419,1.04283
2025-01-22,1.04285,1.04573,1.03918,1.04077
2025-01-23,1.0408,1.0438,1.03717,1.04148
2025-01-24,1.04147,1.05214,1.04112,1.04919
2025-01-27,1.0479,1.05334,1.04536,1.04916
2025-01-28,1.04912,1.04932,1.04135,1.04298
2025-01-29,1.04296,1.04436,1.03821,1.04207
2025-01-30,1.04203,1.04679,1.03859,1.03875
2025-01-31,1.03879,1.0434,1.03496,1.03602
2025-02-03,1.0232,1.03499,1.02103,1.0343
2025-02-04,1.03427,1.03876,1.0272,1.03783
2025-02-05,1.0378,1.04425,1.03693,1.04021
2025-02-06,1.04019,1.04058,1.03521,1.03828
2025-02-07,1.03821,1.04124,1.03048,1.0326
2025-02-10,1.02886,1.03365,1.02808,1.03063
2025-02-11,1.03062,1.03815,1.02917,1.03604
2025-02-12,1.03605,1.04299,1.03168,1.03824
2025-02-13,1.03818,1.0467,1.03726,1.04641
2025-02-14,1.04625,1.05141,1.04469,1.04913
2025-02-17,1.04858,1.05062,1.04667,1.0484
2025-02-18,1.04833,1.04863,1.04348,1.04459
2025-02-19,1.0445,1.04613,1.04004,1.04222
2025-02-20,1.04217,1.05034,1.04183,1.05002
2025-02-21,1.05001,1.05054,1.0449,1.04559
2025-02-24,1.04768,1.05283,1.04524,1.04671
2025-02-25,1.04664,1.05193,1.04559,1.05121
2025-02-26,1.05124,1.05289,1.04747,1.04836
2025-02-27,1.04834,1.04924,1.03965,1.03973
2025-02-28,1.03966,1.042,1.03596,1.03747
2025-03-03,1.04027,1.05036,1.03883,1.04857
2025-03-04,1.04849,1.06275,1.04708,1.06253
2025-03-05,1.06249,1.07968,1.06017,1.07875
2025-03-06,1.07864,1.08537,1.07655,1.07818
2025-03-07,1.0782,1.08888,1.07768,1.083
2025-03-10,1.08392,1.08747,1.08048,1.0834
2025-03-11,1.08345,1.09472,1.08305,1.0911
2025-03-12,1.09111,1.09314,1.08754,1.08857
2025-03-13,1.08856,1.08972,1.08222,1.0851
2025-03-14,1.08515,1.09127,1.08304,1.08765
2025-03-17,1.088,1.09297,1.0868,1.09212
2025-03-18,1.09214,1.09547,1.08921,1.09442
2025-03-19,1.09436,1.0946,1.08603,1.09033
2025-03-20,1.09045,1.09173,1.08143,1.08539
2025-03-21,1.08535,1.08613,1.07962,1.08121
2025-03-24,1.08168,1.08582,1.07813,1.07995
2025-03-25,1.07991,1.08301,1.07765,1.07908
2025-03-26,1.07921,1.0803,1.07342,1.07362
2025-03-27,1.07365,1.08212,1.07327,1.07974
2025-03-28,1.07971,1.08448,1.07644,1.08237
2025-03-31,1.08144,1.08494,1.07837,1.08184
2025-04-01,1.08181,1.08301,1.07779,1.07929
2025-04-02,1.07929,1.09243,1.078,1.08264
2025-04-03,1.08262,1.11466,1.08046,1.10505
2025-04-04,1.10509,1.11076,1.09242,1.09573
2025-04-07,1.09148,1.105,1.09007,1.09112
2025-04-08,1.09112,1.09918,1.08881,1.09565
2025-04-09,1.09564,1.10952,1.0913,1.09503
2025-04-10,1.09497,1.12414,1.09426,1.11888
2025-04-11,1.11918,1.14736,1.11918,1.1358
