timestamp,open,high,low,close
2024-04-10,0.9208,0.9318,0.9201,0.9305
2024-04-11,0.9306,0.9343,0.9296,0.932
2024-04-12,0.932,0.941,0.9318,0.9393
2024-04-15,0.9397,0.9413,0.9374,0.941
2024-04-16,0.941,0.943,0.9384,0.9415
2024-04-17,0.9415,0.9425,0.9362,0.9367
2024-04-18,0.9365,0.9395,0.9352,0.9394
2024-04-19,0.9393,0.9421,0.9363,0.938
2024-04-22,0.9379,0.941,0.9369,0.9384
2024-04-23,0.9384,0.9397,0.9336,0.9341
2024-04-24,0.934,0.9362,0.9332,0.9345
2024-04-25,0.9344,0.9361,0.931,0.9318
2024-04-26,0.9317,0.9365,0.9299,0.9347
2024-04-29,0.9346,0.9352,0.9314,0.9325
2024-04-30,0.9325,0.9374,0.9313,0.9371
2024-05-01,0.9372,0.9387,0.9316,0.9332
2024-05-02,0.9329,0.9365,0.9311,0.9321
2024-05-03,0.9318,0.9322,0.9248,0.9288
2024-05-06,0.9289,0.9295,0.9265,0.9283
2024-05-07,0.9282,0.9302,0.9268,0.9295
2024-05-08,0.9296,0.9312,0.9294,0.9301
2024-05-09,0.93,0.9321,0.9269,0.9273
2024-05-10,0.9271,0.929,0.9266,0.9283
2024-05-13,0.9281,0.9286,0.9251,0.9267
2024-05-14,0.9265,0.9283,0.9235,0.9241
2024-05-15,0.9241,0.9245,0.9181,0.9186
2024-05-16,0.9183,0.9209,0.9177,0.9199
2024-05-17,0.9198,0.9226,0.9191,0.9198
2024-05-20,0.9197,0.921,0.9185,0.9207
2024-05-21,0.9206,0.9218,0.9194,0.9209
2024-05-22,0.921,0.9241,0.9203,0.9237
2024-05-23,0.9235,0.9253,0.9205,0.9244
2024-05-24,0.9244,0.9252,0.9207,0.9217
2024-05-27,0.9214,0.9221,0.92,0.9208
2024-05-28,0.9206,0.921,0.9181,0.9205
2024-05-29,0.9206,0.9257,0.9206,0.9253
2024-05-30,0.9255,0.9267,0.9218,0.9228
2024-05-31,0.9229,0.9247,0.9187,0.9213
2024-06-03,0.9214,0.9233,0.9166,0.917
