timestamp,open,high,low,close
2024-08-29,3.654,3.67192,3.6453,3.6589
2024-08-30,3.6564,3.6629,3.6139,3.6214
2024-09-02,3.6338,3.6594,3.6263,3.6504
2024-09-03,3.6433,3.6984,3.6335,3.6851
2024-09-04,3.6869,3.72216,3.6734,3.6853
2024-09-05,3.6833,3.7087,3.6726,3.6981
2024-09-06,3.6984,3.7325,3.685,3.7259
2024-09-09,3.7175,3.7676,3.7138,3.7644
2024-09-10,3.7586,3.777,3.73722,3.758
2024-09-11,3.7552,3.7816,3.7468,3.7695
2024-09-12,3.7655,3.7803,3.7088,3.7227
2024-09-13,3.7179,3.7304,3.6922,3.7075
2024-09-16,3.7079,3.74861,3.6951,3.7356
2024-09-17,3.7357,3.7914,3.7285,3.7823
2024-09-18,3.7817,3.7863,3.7478,3.7815
2024-09-19,3.7807,3.7904,3.7327,3.7579
2024-09-20,3.7578,3.7885,3.7369,3.7774
2024-09-23,3.78052,3.7964,3.7605,3.7805
2024-09-24,3.7814,3.7969,3.73238,3.7479
2024-09-25,3.7497,3.7681,3.7237,3.7397
2024-09-26,3.7382,3.7404,3.6715,3.6999
2024-09-27,3.6943,3.7333,3.681,3.7272
2024-09-30,3.6889,3.7279,3.6833,3.7151
2024-10-01,3.7162,3.7765,3.7027,3.7564
2024-10-02,3.7575,3.7965,3.7461,3.7829
2024-10-03,3.7789,3.8146,3.7692,3.8018
2024-10-04,3.8018,3.8297,3.7828,3.8053
2024-10-07,3.8081,3.8128,3.7648,3.7864
2024-10-08,3.7853,3.8023,3.7437,3.7578
2024-10-09,3.7588,3.7778,3.7326,3.7592
2024-10-10,3.7561,3.7782,3.7433,3.7661
2024-10-11,3.7616,3.7691,3.7427,3.7545
2024-10-14,3.7576,3.7754,3.7419,3.7593
2024-10-15,3.7593,3.7642,3.7294,3.7483
2024-10-16,3.7591,3.77285,3.7434,3.7555
2024-10-17,3.7552,3.7805,3.7142,3.7243
2024-10-18,3.7252,3.7353,3.692,3.7112
2024-10-21,3.7107,3.78356,3.7051,3.7735
2024-10-22,3.7708,3.7893,3.7564,3.7693
2024-10-23,3.7604,3.79972,3.7594,3.7918
2024-10-24,3.7893,3.79898,3.7651,3.7805
2024-10-25,3.7794,3.7992,3.7739,3.7793
2024-10-28,3.7303,3.74714,3.7108,3.7262
2024-10-29,3.7259,3.74661,3.7075,3.7206
2024-10-30,3.7208,3.7304,3.6897,3.701
2024-10-31,3.7002,3.751,3.692,3.7366
2024-11-01,3.7367,3.7631,3.7209,3.7508
2024-11-04,3.751,3.7596,3.722,3.75
2024-11-05,3.7416,3.7597,3.7243,3.7465
2024-11-06,3.7386,3.7673,3.7163,3.7259
2024-11-07,3.7291,3.7393,3.6993,3.7182
2024-11-08,3.7176,3.7555,3.7073,3.7455
2024-11-11,3.733,3.7561,3.7112,3.7454
2024-11-12,3.7446,3.7592,3.7258,3.7545
2024-11-13,3.747,3.7663,3.7226,3.7421
2024-11-14,3.7422,3.7576,3.7226,3.7361
2024-11-15,3.736,3.7494,3.7234,3.7407
2024-11-18,3.7367,3.7481,3.717,3.7288
2024-11-19,3.7287,3.7528,3.7165,3.7372
2024-11-20,3.7383,3.7484,3.7184,3.7337
2024-11-21,3.7268,3.7445,3.6974,3.7042
2024-11-22,3.7084,3.72958,3.6912,3.7009
2024-11-25,3.7006,3.7073,3.6269,3.6389
2024-11-26,3.6386,3.6534,3.6189,3.6425
2024-11-27,3.6434,3.6642,3.6283,3.6547
2024-11-28,3.6479,3.6587,3.6347,3.6496
2024-11-29,3.6498,3.6554,3.6202,3.6338
2024-12-02,3.6208,3.65282,3.6208,3.64914
2024-12-03,3.64914,3.6513,3.607,3.6168
2024-12-04,3.6133,3.6244,3.5877,3.6151
2024-12-05,3.6151,3.61754,3.5773,3.5968
2024-12-06,3.59,3.6069,3.5699,3.5747
2024-12-09,3.5747,3.5826,3.5388,3.5629
2024-12-10,3.5613,3.5938,3.5542,3.5769
2024-12-11,3.5769,3.59743,3.5626,3.5762
